T, P, Rho, Mu, Cp, K, h, s
526.3157894736842, 5.368421052631579, 795.5578759090004, 0.00010518079704216663, 4882.558478500647, 0.614782838726683, 19835792.63714827, 50791.26220137906
526.3157894736842, 5.447368421052632, 795.6519674044916, 0.00010520375538676216, 4881.438415725316, 0.6148718311436883, 19835712.456865676, 50787.71333821514
526.3157894736842, 5.526315789473684, 795.7459678534266, 0.00010522669788241811, 4880.320740599723, 0.6149607792305518, 19835633.75352906, 50784.16768269313
526.3157894736842, 5.605263157894736, 795.8398774767289, 0.00010524962456816827, 4879.2054441798555, 0.615049683078716, 19835556.523420677, 50780.62522726643
526.3157894736842, 5.684210526315789, 795.9336964944835, 0.00010527253548289952, 4878.092517570706, 0.6151385427793302, 19835480.762837455, 50777.08596441749
526.3157894736842, 5.7631578947368425, 796.0274251259403, 0.00010529543066535257, 4876.981951925909, 0.6152273584232566, 19835406.46809097, 50773.54988665792
526.3157894736842, 5.842105263157895, 796.1210635895173, 0.00010531831015412238, 4875.873738447391, 0.6153161301010699, 19835333.63550726, 50770.016986528004
526.3157894736842, 5.921052631578947, 796.214612102808, 0.00010534117398765957, 4874.767868385013, 0.6154048579030569, 19835262.26142687, 50766.48725659682
526.3157894736842, 6.0, 796.3080708825842, 0.00010536402220427123, 4873.664333036239, 0.6154935419192246, 19835192.34220466, 50762.96068946186
536.8421052631579, 4.5, 22.08134649056482, 1.8036161760245323e-05, 3860.3887194283407, 0.05239888663766371, 50860730.68694364, 109299.12567638466
536.8421052631579, 4.578947368421052, 22.582898881677846, 1.8022668344418235e-05, 3940.9997194817215, 0.05274858665839804, 50779445.563866, 109029.07232730431
536.8421052631579, 4.657894736842105, 23.091331924161622, 1.8009181027133933e-05, 4026.083215035903, 0.053107507523124285, 50696662.815100744, 108758.85276880114
536.8421052631579, 4.7368421052631575, 23.606950283096715, 1.7995698750380236e-05, 4116.049275693031, 0.053476308096842055, 50612306.51318961, 108488.24622884962
536.8421052631579, 4.815789473684211, 24.13008264455875, 1.7982220346893013e-05, 4211.373824488404, 0.05385573002692563, 50526293.79712505, 108217.02334919092
536.8421052631579, 4.894736842105263, 24.661085108479455, 1.7968744510348152e-05, 4312.616327837537, 0.054246614960344226, 50438533.5320854, 107944.94344226646
536.8421052631579, 4.973684210526316, 25.200345408819178, 1.7955269754777855e-05, 4420.442621863578, 0.0546499269183532, 50348924.5833101, 107671.75105620247
536.8421052631579, 5.052631578947368, 777.860926214315, 0.00010024724865111159, 5027.45827535766, 0.6015465391970295, 20775705.407247335, 52572.98657897984
536.8421052631579, 5.131578947368421, 777.9680851470184, 0.00010027169483037338, 5026.003423873304, 0.6016433094688934, 20775376.19435276, 52568.96769193158
536.8421052631579, 5.2105263157894735, 778.0751206559917, 0.00010029612032614063, 5024.552312087945, 0.6017400209151302, 20775049.04602536, 52564.95311944408
536.8421052631579, 5.2894736842105265, 778.1820330996535, 0.00010032052519914337, 5023.104922978194, 0.6018366736816689, 20774723.95609891, 52560.942849362946
536.8421052631579, 5.368421052631579, 778.288822834748, 0.00010034490950982782, 5021.661239631338, 0.6019332679137949, 20774400.9184367, 52556.9368695908
536.8421052631579, 5.447368421052632, 778.3954902163541, 0.00010036927331835788, 5020.221245244548, 0.6020298037561331, 20774079.926931374, 52552.935168086995
536.8421052631579, 5.526315789473684, 778.5020355978987, 0.0001003936166846176, 5018.784923124095, 0.6021262813526691, 20773760.975504693, 52548.9377328672
536.8421052631579, 5.605263157894736, 778.6084593311616, 0.00010041793966821147, 5017.3522566845495, 0.6022227008467479, 20773444.05810743, 52544.94455200314
536.8421052631579, 5.684210526315789, 778.7147617662889, 0.00010044224232846766, 5015.923229448, 0.6023190623810813, 20773129.168719076, 52540.955613622034
536.8421052631579, 5.7631578947368425, 778.8209432517999, 0.00010046652472443729, 5014.497825043281, 0.6024153660977564, 20772816.301347733, 52536.97090590642
